FEED_NAME,FEED_ADDRESS,FEED_CATEGORY,FEED_ADDED,CREATED_BLOCK_NUMBER
KRW / USD,0x01435677fb11763550905594a16b645847c1d0f3,Foreign Exchange,16-Feb-21,11870540
BCH / USD,0x9f0f69428f923d6c95b781f89e165c9b2df9789d,Cryptocurrency (USD pairs),21-Aug-20,10705576
USDN / USD,0x7a8544894f7fd0c69cfcbe2b4b2e277b0b9a4355,Stablecoins,27-May-21,12510586
BUSD / ETH,0x614715d2af89e6ec99a233818275142ce88d1cfd,Stablecoins,16-Mar-20,10606430
LINK / ETH,0xdc530d9457755926550b59e8eccdae7624181557,Cryptocurrency (ETH pairs),23-Dec-19,10606503
DOGE / USD,0x2465cefd3b488be410b941b1d4b2767088e2a028,Cryptocurrency (USD pairs),18-May-21,12460079
TUSD Supply,0x807b029dd462d5d9b9db45dff90d3414013b969e,Proof of Reserve,5-Nov-20,11179670
PAXG Reserves,0x716bb8c60d409e54b8fb5c4f6abc50e794da048a,Proof of Reserve,13-Jan-21,11649378
BAL / ETH,0xc1438aa3823a6ba0c159cfa8d98df5a994ba120b,Cryptocurrency (ETH pairs),9-Nov-20,11205493
TUSD / USD,0xec746ecf986e2927abd291a2a1716c940100f8ba,Cryptocurrency (USD pairs),-,13946934
AMP / USD,0x8797abc4641de76342b8ace9c63e3301dc35e3d8,Cryptocurrency (USD pairs),8-Sep-21,12000038
HBAR / USD,0x38c5ae3ee324ee027d88c5117ee58d07c9b4699b,Cryptocurrency (USD pairs),2-Apr-21,12154949
FRONT / USD,0xbf86e7b2565eac3bfd80634176f31bd186566b06,Cryptocurrency (USD pairs),2-Apr-21,12155138
CTSI / ETH,0x0a1d1b9847d602e789be38b802246161ffa24930,Cryptocurrency (ETH pairs),8-Sep-21,13187335
CAD / USD,0xa34317db73e77d453b1b8d04550c44d10e981c8e,Foreign Exchange,17-Dec-20,11471937
ALCX / ETH,0x194a9aaf2e0b67c35915cd01101585a33fe25caa,Cryptocurrency (ETH pairs),12-Aug-21,13005169
OKB / USD,0x22134617ae0f6ca8d89451e5ae091c94f7d743dc,Cryptocurrency (USD pairs),1-Apr-21,12154696
OCEAN / ETH,0x9b0fc4bb9981e5333689d69bdbf66351b9861e62,Cryptocurrency (ETH pairs),30-Mar-21,12136228
APE / USD,0xd10abbc76679a20055e167bb80a24ac851b37056,Cryptocurrency (USD pairs),20-Apr-22,14584588
ADX / USD,0x231e764b44b2c1b7ca171fa8021a24ed520cde10,Cryptocurrency (USD pairs),1-Oct-20,10956901
PERP / ETH,0x3b41d5571468904d4e53b6a8d93a6bac43f02dc9,Cryptocurrency (ETH pairs),16-Mar-21,12051935
YFII / ETH,0xaab2f6b45b28e962b3acd1ee4fc88aeddf557756,Cryptocurrency (ETH pairs),8-Feb-21,11817973
ADA / USD,0xae48c91df1fe419994ffda27da09d5ac69c30f55,Cryptocurrency (USD pairs),21-Aug-20,10705577
ONT / USD,0xcda3708c5c2907fcca52bb3f9d3e4c2028b89319,Cryptocurrency (USD pairs),15-Mar-21,12044534
EOS / USD,0x10a43289895eaff840e8d45995bba89f9115ecee,Cryptocurrency (USD pairs),21-Aug-20,10705583
SWAP / ETH,0xffa4bb3a24b60c0262dbaad60d77a3c3fa6173e8,Cryptocurrency (ETH pairs),28-May-21,12517949
MLN / ETH,0xdaea8386611a157b08829ed4997a8a62b557014c,Cryptocurrency (ETH pairs),9-Nov-20,11205243
XMR / USD,0xfa66458cce7dd15d8650015c4fce4d278271618f,Cryptocurrency (USD pairs),21-Aug-20,10705600
PAXG / ETH,0x9b97304ea12efed0fad976fbecaad46016bf269e,Cryptocurrency (ETH pairs),6-Dec-20,11375816
Total Marketcap / USD,0xec8761a0a73c34329ca5b1d3dc7ed07f30e836e2,Indexes,-,11146276
MIR / USD,0x97e4f2bc7231f2afa05c51f524a80e1c8bf944e5,Cryptocurrency (USD pairs),13-Oct-21,13405559
INJ / USD,0xae2ebe3c4d20ce13ce47cbb49b6d7ee631cd816e,Cryptocurrency (USD pairs),16-Dec-20,11460569
GUSD / ETH,0x96d15851cbac05aee4efd9ea3a3dd9bdeec9fc28,Stablecoins,23-Sep-21,13270996
GNO / ETH,0xa614953df476577e90dcf4e3428960e221ea4727,Cryptocurrency (ETH pairs),18-May-21,12460657
TRY / USD,0xb09fc5fd3f11cf9eb5e1c5dba43114e3c9f477b5,Foreign Exchange,18-Mar-21,12058475
HT / USD,0xe1329b3f6513912caf589659777b66011aee5880,Cryptocurrency (USD pairs),21-Apr-21,12277524
NMR / USD,0xcc445b35b3636bc7cc7051f4769d8982ed0d449a,Cryptocurrency (USD pairs),19-May-21,12466366
TOMO / USD,0x3d44925a8e9f9dfd90390e58e92ec16c996a331b,Cryptocurrency (USD pairs),17-Dec-20,11466944
MANA / ETH,0x82a44d92d6c329826dc557c5e1be6ebec5d5feb9,Cryptocurrency (ETH pairs),23-Dec-19,10606502
CRV / USD,0xcd627aa160a6fa45eb793d19ef54f5062f20f33f,Cryptocurrency (USD pairs),1-Apr-21,12143464
GUSD / USD,0xa89f5d2365ce98b3cd68012b6f503ab1416245fc,Stablecoins,-,13265061
UNI / ETH,0xd6aa3d25116d8da79ea0246c4826eb951872e02e,Cryptocurrency (ETH pairs),22-Sep-20,10907808
EURS Reserves,0xbcd05a3e0c11f340cccd9a4efe05eeb2b33ab67a,Proof of Reserve,18-Mar-21,11420304
MIM / USD,0x7a364e8770418566e3eb2001a96116e6138eb32f,Stablecoins,20-Oct-21,13448732
AAVE / ETH,0x6df09e975c830ecae5bd4ed9d90f3a95a4f88012,Cryptocurrency (ETH pairs),19-Oct-20,11066860
RARI / ETH,0x2a784368b1d492f458bf919389f42c18315765f5,Cryptocurrency (ETH pairs),14-Apr-21,12239416
XCN / USD,0xeb988b77b94c186053282bfcd8b7ed55142d3cab,Cryptocurrency (USD pairs),13-Jul-22,14898027
LRC / USD,0xfd33ec6abaa1bdc3d9c6c85f1d6299e5a1a5511f,Cryptocurrency (USD pairs),16-Feb-21,11838372
CHF / USD,0x449d117117838ffa61263b61da6301aa2a88b13a,Foreign Exchange,11-Dec-19,10606425
CEL / ETH,0x75fbd83b4bd51dee765b2a01e8d3aa1b020f9d33,Cryptocurrency (ETH pairs),3-Feb-21,11772562
XSUSHI / USD,0xcc1f5d9e6956447630d703c8e93b2345c2de3d13,Cryptocurrency (USD pairs),-,13993507
IOST / USD,0xd0935838935349401c73a06fcde9d63f719e84e5,Cryptocurrency (USD pairs),16-Dec-20,11466117
Fast Gas / Gwei,0x169e633a2d1e6c10dd91238ba11c4a708dfef37c,Ethereum Gas,11-May-20,10606498
CRO / USD,0x00cb80cf097d9aa9a3779ad8ee7cf98437eae050,Cryptocurrency (USD pairs),7-Apr-21,12181586
AMPL / USD,0xe20ca8d7546932360e37e9d72c1a47334af57706,Cryptocurrency (USD pairs),14-Aug-20,11431912
OMG / USD,0x7d476f061f8212a8c9317d5784e72b4212436e93,Cryptocurrency (USD pairs),19-May-21,12466132
BAT / ETH,0x0d16d4528239e9ee52fa531af613acdb23d88c94,Cryptocurrency (ETH pairs),23-Dec-19,10606498
BAND / USD,0x919c77acc7373d000b329c1276c76586ed2dd19f,Cryptocurrency (USD pairs),15-Jan-21,11660401
GRT / ETH,0x17d054ecac33d91f7340645341efb5de9009f1c1,Cryptocurrency (ETH pairs),16-Feb-21,11864174
CRV / ETH,0x8a12be339b0cd1829b91adc01977caa5e9ac121e,Cryptocurrency (ETH pairs),1-Oct-20,10951351
ALGO / USD,0xc33c0400dbd8043c5be09512501ce59253d499ce,Cryptocurrency (USD pairs),-,14481630
